tribunal_enc,tema_enc,taxa_vitoria_juiz,taxa_vitoria_tribunal,taxa_vitoria_tema,prec_norm,qualidade_provas,segundo_grau,label,numero_processo
12,420,0.4,0.7495151906916613,0.7783251231527094,1.0,1,0,0,00000131620248260274
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000132020228260651
12,964,1.0,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000133020208260153
12,945,0.3333333333333333,0.7495151906916613,0.24285714285714285,1.0,1,0,0,00000133820218260430
12,420,0.75,0.7495151906916613,0.7783251231527094,1.0,1,0,1,00000134120208260505
12,644,1.0,0.7495151906916613,0.7,1.0,1,0,1,00000134420208260601
12,640,0.2857142857142857,0.7495151906916613,0.65,1.0,1,0,0,00000136520208260400
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,0,00000138320238260651
12,723,0.7692307692307693,0.7495151906916613,0.4738955823293173,1.0,1,0,0,00000138520218260673
12,1040,0.9375,0.7495151906916613,0.7945945945945946,1.0,1,0,1,00000138820228260596
12,1064,1.0,0.7495151906916613,0.5,1.0,1,0,1,00000139320208260617
12,363,0.3333333333333333,0.7495151906916613,0.4742268041237113,1.0,1,0,0,00000140820248260498
12,160,0.0,0.7495151906916613,0.8333333333333334,1.0,1,0,0,00000140920228260100
12,1132,0.8571428571428571,0.7495151906916613,1.0,1.0,1,0,1,00000140920248260142
12,944,1.0,0.7495151906916613,0.21985157699443414,1.0,1,0,1,00000141120248260691
12,111,1.0,0.7495151906916613,0.781563126252505,1.0,1,0,1,00000141920218260593
12,832,1.0,0.7495151906916613,0.8571428571428571,1.0,1,0,1,00000142320228260451
12,337,0.7428571428571429,0.7495151906916613,0.7647058823529411,1.0,1,0,0,00000142520248260072
12,420,1.0,0.7495151906916613,0.7783251231527094,1.0,1,0,1,00000143020208260536
12,167,1.0,0.7495151906916613,0.8448275862068966,0.7666666666666667,1,0,1,00000143520248260101
12,74,1.0,0.7495151906916613,0.6875,1.0,1,0,1,00000143620208260631
12,30,1.0,0.7495151906916613,0.47368421052631576,1.0,1,0,1,00000143820208260598
12,1053,0.8,0.7495151906916613,0.9166666666666666,1.0,1,0,1,00000144920238260140
12,644,0.46875,0.7495151906916613,0.7,1.0,1,0,1,00000145620218260128
12,204,0.8333333333333334,0.7495151906916613,0.7769230769230769,1.0,1,0,1,00000146120218260579
12,377,0.8,0.7495151906916613,0.623721881390593,1.0,1,0,1,00000146620248260220
12,725,0.5625,0.7495151906916613,0.7115384615384616,1.0,1,0,1,00000146720208260071
12,1040,0.8,0.7495151906916613,0.7945945945945946,1.0,1,0,1,00000148420248260408
12,1049,0.95,0.7495151906916613,0.9354838709677419,1.0,1,0,1,00000149420238260319
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000149720218260567
12,1075,0.0,0.7495151906916613,0.0,1.0,1,0,0,00000149820248260274
12,1040,0.6428571428571429,0.7495151906916613,0.7945945945945946,1.0,1,0,1,00000151120238260471
12,38,1.0,0.7495151906916613,0.6812227074235808,1.0,1,0,1,00000151220208260537
12,432,0.6666666666666666,0.7495151906916613,0.6666666666666666,1.0,1,0,1,00000151220228260288
12,167,1.0,0.7495151906916613,0.8448275862068966,0.8,1,0,1,00000152020248260101
12,167,1.0,0.7495151906916613,0.8448275862068966,1.0,1,0,1,00000152920248260292
12,1156,1.0,0.7495151906916613,1.0,1.0,1,0,1,00000153920248260418
12,420,0.8620689655172413,0.7495151906916613,0.7783251231527094,1.0,1,0,1,00000154920208260072
12,1047,0.7692307692307693,0.7495151906916613,1.0,1.0,1,0,1,00000155220218260189
12,818,0.9452054794520548,0.7495151906916613,0.588469184890656,1.0,1,0,1,00000155420208260426
12,818,0.6,0.7495151906916613,0.588469184890656,1.0,1,0,0,00000155420218260059
12,464,0.6,0.7495151906916613,0.4942528735632184,1.0,1,0,0,00000157020218260474
12,964,0.46875,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000157520208260128
12,1030,0.515625,0.7495151906916613,0.8079268292682927,1.0,1,0,0,00000157920228260589
12,420,0.95,0.7495151906916613,0.7783251231527094,1.0,1,0,1,00000157920238260319
12,223,0.5,0.7495151906916613,0.6,1.0,1,0,0,00000158320248260565
12,29,1.0,0.7495151906916613,0.7694174757281553,1.0,1,0,1,00000160520208260599
12,167,1.0,0.7495151906916613,0.8448275862068966,0.8666666666666667,1,0,1,00000160520248260101
12,964,0.9375,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000161420208260596
12,413,0.3333333333333333,0.7495151906916613,0.5555555555555556,1.0,1,0,0,00000163320238260006
12,746,0.75,0.7495151906916613,0.5,0.7,1,0,1,00000164520228260272
12,337,0.7857142857142857,0.7495151906916613,0.7647058823529411,1.0,1,0,1,00000164620248260152
12,725,1.0,0.7495151906916613,0.7115384615384616,1.0,1,0,1,00000166820248260177
12,366,0.4,0.7495151906916613,0.6071428571428571,1.0,1,0,0,00000166820248260274
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000167020238260123
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000167220228260651
12,964,1.0,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000168220208260153
12,368,1.0,0.7495151906916613,0.4620938628158845,1.0,1,0,1,00000168520238260312
12,96,0.6,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000168720218260625
12,1035,1.0,0.7495151906916613,0.71875,1.0,1,0,1,00000169220248260169
